年份,月份,階段,描述
2021,Nov,公會成立雛形,Raku 和 6 位共同遊玩伺服器的玩家成立組織，名字定為 WorldEnd。他們在不同的伺服器中遊玩，結識不同的玩家。
2022,May,轉型,隨著組織規模擴大，12 位玩家加入 WorldEnd 團隊，名字更改為 DeadEnd。此時的 DeadEnd 專注遊玩政治伺服器和研究 Minecraft 的知識
2023,May,公會社群化,隨着遊玩的伺服器增加，DeadEnd 開設了自己的 Discord 伺服器並改名為 NEMESIS。此時 NEMESIS 開始認為香港 Minecraft 圈需要多些聲音
2024,Nov,公會公開化,NEMESIS 為了連結圈子內的人，公開自己的 Discord 並主動和不同的人溝通，尋求合作機會
2025,Feb - NOW,公會活動開啓,NEMESIS 開始舉辦不同的活動，旨在連結圈子
